abs_word_idx,timestamp_s,packet_num,frame_length,passed_valid
51465,0.006433125,2,250,1
51715,0.006464375,3,250,1
51965,0.006495625,4,250,1
52215,0.006526875,5,250,1
52465,0.006558125,6,250,1
52715,0.006589375,7,250,1
52965,0.006620625,0,250,1
53215,0.006651875,1,250,1
53465,0.006683125,2,250,1
53715,0.006714375,3,250,1
53965,0.006745625,4,250,1
54215,0.006776875,5,250,1
54465,0.006808125,6,250,1
54715,0.006839375,7,250,1
54965,0.006870625,0,250,1
55215,0.006901875,1,250,1
55465,0.006933125,2,250,1
55715,0.006964375,3,248,1
55963,0.006995375,4,250,1
56213,0.007026625,5,250,1
56463,0.007057875,6,250,1
56713,0.007089125,7,250,1
56963,0.007120375,0,250,1
57213,0.007151625,1,250,1
57463,0.007182875,2,250,1
57713,0.007214125,3,250,1
57963,0.007245375,4,250,1
58213,0.007276625,5,250,1
58463,0.007307875,6,250,1
58713,0.007339125,7,250,1
58963,0.007370375,0,250,1
59213,0.007401625,1,250,1
59463,0.007432875,2,250,1
59713,0.007464125,3,250,1
59963,0.007495375,4,250,1
60213,0.007526625,5,250,1
60463,0.007557875,6,250,1
60713,0.007589125,7,248,1
60961,0.007620125,0,250,1
61211,0.007651375,1,250,1
61461,0.007682625,2,250,1
61711,0.007713875,3,250,1
61961,0.007745125,4,250,1
62211,0.007776375,5,250,1
62461,0.007807625,6,250,1
62711,0.007838875,7,250,1
62961,0.007870125,0,250,1
63211,0.007901375,1,250,1
63461,0.007932625,2,250,1
63711,0.007963875,3,250,1
63961,0.007995125,4,250,1
64211,0.008026375,5,250,1
64461,0.008057625,6,250,1
64711,0.008088875,7,250,1
64961,0.008120125,0,250,1
65211,0.008151375,1,250,1
65461,0.008182625,2,248,1
65709,0.008213625,3,250,1
65959,0.008244875,4,250,1
66209,0.008276125,5,250,1
66459,0.008307375,6,250,1
66709,0.008338625,7,250,1
66959,0.008369875,0,250,1
67209,0.008401125,1,250,1
67459,0.008432375,2,250,1
67709,0.008463625,3,250,1
67959,0.008494875,4,250,1
